Shape,Model,Resolution,MegaPixel,FrameRate,PTZ,Infrared,Varifocal,SD Card Storage,Wifi,Onvif,Audio IN,Audio OUT,PoE,UPnP,JPEG URL,H264 URL,MJPEG URL,user Manual,Data sheet,Page Reference,Default user,Default password,Detailed Shape / Type as in vendor catalog,Manufacturer
Box,M1004-W,1280x800,1,30,NO,NO,Adjustable Focus,NO,YES,YES,NO,NO,NO,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1004w_49542_en_1303.pdf,http://www.axis.com/files/datasheet/ds_m10_51860_en_lo_0513.pdf,http://www.axis.com/products/cam_m1004w/index.htm,root,pass,Fixed,Axis
Box,M1013,800x600,?,30,NO,NO,Adjustable Focus,YES,NO,YES,NO,NO,NO,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1013_47128_en_1206.pdf,http://www.axis.com/files/datasheet/ds_m10_51860_en_lo_0513.pdf,http://www.axis.com/products/cam_m1013/index.htm,root,pass,Fixed,Axis
Box,M1014,1280x800,1,30,NO,NO,Adjustable Focus,YES,NO,YES,NO,NO,NO,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1014_47129_en_1206.pdf,http://www.axis.com/files/datasheet/ds_m10_51860_en_lo_0513.pdf,http://www.axis.com/products/cam_m1014/index.htm,root,pass,Fixed,Axis
Box,M1033-W,800x600,?,30,NO,NO,Adjustable Focus,NO,YES,YES,YES,YES,NO,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1033w_47130_en_1206.pdf,,http://www.axis.com/products/cam_m1033w/index.htm,root,pass,Fixed,Axis
Box,M1034-W,1280x800,1,30,NO,NO,Adjustable Focus,NO,YES,YES,YES,YES,NO,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1034w_47131_en_1206.pdf,,http://www.axis.com/products/cam_m1034w/index.htm,root,pass,Fixed,Axis
Box,M1054,1280x800,1,30,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1054_51539_en_1304.pdf,,http://www.axis.com/products/cam_m1054/index.htm,root,pass,Fixed,Axis
Box,M1103,800x600,?,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1103_46766_en_1206.pdf,,http://www.axis.com/products/cam_m1103/index.htm,root,pass,Fixed,Axis
Box,M1104,1280x800,1,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1104_46767_en_1206.pdf,,http://www.axis.com/products/cam_m1104/index.htm,root,pass,Fixed,Axis
Box,M1113(a),800x600,?,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1113_46768_en_1206.pdf,,http://www.axis.com/products/cam_m1113/index.htm,root,pass,Fixed,Axis
Box,M1113-E(b),800x600,?,30,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,axis-cgi/jpg/image.cgi,axis-media/media.amp,axis-cgi/mjpg/video.cgi,http://www.axis.com/files/manuals/um_m1113e_46770_en_1206.pdf,,http://www.axis.com/products/cam_m1113e/index.htm,root,pass,Fixed,Axis
